puntuacion,age,Agricultura ecológica,Arte,Asador,Bertsolarismo,Bodegas,Ciencias naturales,Cine y audiovisuales,Concierto y Festival,Concurso,"Conferencia, Eventos/jornadas, Presentación",Danza,Denominación de Origen,Etnografía,Euskal Baserri,Eusko Label,Exposición,Fiestas y Feria,Formación,Gourmet,Hostelería,Museos: Historia,Patrimonio cultural,Queserías,Restaurante,Sidrería,Teatro,municipality_10,municipality_20,municipality_48,sexo_hombre,sexo_mujer,sexo_otro,Visita Guiada,Capacidad,Tienda,num_resenas,Tipo de lugar_Museo,Tipo de lugar_Patrimonio cultural,Provincia_Guipúzcoa,Provincia_Vizcaya,Provincia_Álava,Tipo de Cultura_Arte,Tipo de Cultura_Artesanía,Tipo de Cultura_Ciencias Naturales,Tipo de Cultura_Etnografía,Tipo de Cultura_Gastronomía,Tipo de Cultura_Historia,Tipo de Cultura_Marítimo,Tipo de Cultura_Otros,Tipo de Cultura_Patrimonio Cultural,Tipo de Cultura_Religión,valoracion_scaled,afinidad
4,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,True,False,False,True,False,False,True,1000.0,False,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,3.3999999999999986,0.0
4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,1000.0,False,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,3.3999999999999986,0.0
4,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,True,False,True,1000.0,False,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,3.3999999999999986,0.0
5,60,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,1000.0,False,7700.0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,3.3999999999999986,0.0
4,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
4,52,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,2.0
4,57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,1.0
2,51,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
5,61,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,False,True,False,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,1.0
4,45,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,True,False,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
5,48,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,False,False,True,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
5,61,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,1.0
3,65,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,False,True,False,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,1.0
4,46,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,2.0
4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
5,62,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,False,True,False,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,2.0
4,48,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
5,54,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,False,False,True,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
3,48,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,False,False,True,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,1.0
3,62,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,False,True,False,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,1.0
4,40,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,True,False,False,True,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
3,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,True,True,False,False,True,28920.0,True,26440.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,1.3999999999999986,0.0
3,55,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,True,False,False,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
5,65,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,True,False,False,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,57,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,False,True,False,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,57,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,False,False,True,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
3,63,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,False,True,False,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
2,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,False,False,True,True,False,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
3,58,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,True,False,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,52,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,True,False,False,True,False,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
4,59,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,920.0,False,7290.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,3.8000000000000007,0.0
5,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,True,False,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,0.0
5,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,0.0
5,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,False,False,True,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,0.0
5,53,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,True,False,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,2.0
4,49,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False,False,True,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,1.0
5,59,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,2.0
5,62,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,1.0
5,46,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,True,False,False,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,1.0
4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,0.0
4,51,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,0.0
4,56,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,True,False,False,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,0.0
4,46,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,False,False,True,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,2.0
5,64,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,True,False,False,False,True,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,1.0
4,48,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,True,False,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,1.0
3,49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,True,6390.0,True,12500.0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3.3999999999999986,1.0
4,50,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,False,False,True,False,True,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
4,54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,False,True,False,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,49,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,False,True,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,True,False,False,True,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,58,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,False,True,False,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
4,64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,False,True,False,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
4,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,True,False,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
4,57,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,45,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,False,True,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,54,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
4,65,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,False,0.0,False,17370.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3.3999999999999986,0.0
5,60,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,False,True,False,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
3,62,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,False,True,False,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
5,56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,False,True,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
3,47,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
5,63,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,False,True,False,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,51,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,False,True,False,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,48,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,False,True,False,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,False,True,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,59,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,False,True,False,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
5,93,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,True,False,False,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,True,False,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
5,62,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,False,True,False,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
5,46,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,False,False,True,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
5,55,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,False,False,True,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,60,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,False,False,True,True,False,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,59,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,False,True,False,False,True,False,True,0.0,False,1440.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,3.3999999999999986,0.0
4,47,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,True,False,False,True,False,False,True,550.0,True,490.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2.1999999999999993,0.0
5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,True,False,True,False,True,550.0,True,490.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2.1999999999999993,0.0
5,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,False,False,True,True,False,False,True,550.0,True,490.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2.1999999999999993,0.0
3,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,False,False,True,False,True,False,True,550.0,True,490.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2.1999999999999993,0.0
